city_name,seismic_level,risk_percent
La Serena,3,98.21
Antofagasta,3,65.97
Copiapó,4,36.01
La Serena,4,77.85
Angol,1,27.70
Calama,5,81.75
Copiapó,4,13.36
Viña del Mar,3,66.69
Rancagua,3,18.40
Temuco,5,64.76
Copiapó,2,62.40
Punta Arenas,1,50.62
Osorno,3,48.81
Antofagasta,4,11.53
Linares,3,
San Antonio,5,43.77
Linares,4,18.45
Copiapó,4,64.07
Osorno,3,23.51
Angol,5,59.66
La Serena,2,14.13
Talca,5,16.97
Chillán,1,44.17
Linares,4,47.45
Valparaíso,2,99.22
Puerto Montt,5,94.00
Valparaíso,2,87.24
Chillán,2,16.72
La Serena,1,
Chillán,5,19.57
Calama,4,10.05
Santiago,4,
Arica,2,52.53
Iquique,4,83.22
Chillán,5,
San Antonio,2,50.24
Iquique,2,48.47
Chillán,4,95.88
Osorno,4,81.02
Santiago,3,81.18
Arica,3,16.04
La Serena,5,35.63
Temuco,5,83.70
Chillán,2,67.02
La Serena,1,59.54
Santiago,3,70.95
Linares,2,59.07
Valparaíso,3,83.47
Santiago,2,28.69
Iquique,5,73.99
Puerto Montt,2,96.97
Temuco,3,30.26
Viña del Mar,5,64.37
Rancagua,5,68.12
Valparaíso,3,18.26
Valparaíso,2,97.35
Iquique,4,92.73
Santiago,1,71.59
Antofagasta,3,62.71
Rancagua,4,49.06
Calama,2,14.27
San Antonio,4,76.29
Concepción,3,37.13
Chillán,2,60.46
La Serena,1,15.58
Calama,5,52.55
Linares,2,
Angol,5,69.45
Temuco,4,64.58
Iquique,3,15.28
Iquique,3,44.83
Calama,3,24.00
Valparaíso,5,29.25
Puerto Montt,3,73.28
Puerto Montt,4,31.82
San Antonio,4,60.74
Angol,3,46.78
Rancagua,2,73.52
Angol,1,32.36
Arica,3,21.69
Talca,4,18.23
Iquique,3,82.10
Talca,1,69.93
San Antonio,1,34.61
Rancagua,1,25.19
Concepción,1,57.10
Chillán,2,53.38
San Antonio,1,62.21
Osorno,2,10.06
Santiago,2,92.87
Antofagasta,1,
Angol,3,53.43
Punta Arenas,5,55.85
Antofagasta,3,64.86
Osorno,1,37.00
Concepción,4,68.52
La Serena,4,79.59
Talca,2,14.30
Viña del Mar,5,11.72
Viña del Mar,3,59.78
Talca,5,77.80
La Serena,3,81.87
Copiapó,1,88.07
San Antonio,2,16.67
San Antonio,4,10.45
Talca,3,49.37
Talca,2,14.97
Talca,4,82.48
Chillán,1,
Rancagua,1,46.33
Angol,4,80.39
Copiapó,4,13.70
Santiago,1,45.61
Valparaíso,2,28.38
Santiago,5,28.78
Chillán,3,17.14
Punta Arenas,1,86.39
Iquique,3,56.76
Concepción,1,27.30
Talca,4,69.23
Punta Arenas,3,55.69
Osorno,4,62.75
Arica,3,92.10
Punta Arenas,2,31.17
Osorno,5,73.42
Antofagasta,1,47.27
Concepción,5,42.27
Chillán,1,88.14
Concepción,5,45.46
Arica,4,28.99
Santiago,5,50.68
La Serena,2,53.79
Iquique,5,94.02
Valparaíso,4,27.90
Arica,4,16.19
Chillán,5,77.95
Osorno,5,29.56
Arica,2,87.49
Iquique,1,36.20
Calama,3,47.00
Linares,2,89.11
Puerto Montt,1,39.31
Iquique,2,49.58
Angol,2,86.86
Chillán,3,14.06
Antofagasta,1,43.93
Arica,2,74.61
Antofagasta,3,99.16
Talca,2,81.89
Antofagasta,5,83.07
La Serena,2,81.32
Concepción,3,
Temuco,5,58.57
Punta Arenas,3,67.59
Rancagua,5,98.78
Osorno,1,88.75
Angol,4,97.02
Valparaíso,4,60.99
Concepción,5,16.10
Copiapó,1,
Arica,2,54.51
Santiago,4,96.16
Calama,3,91.38
La Serena,4,42.82
La Serena,1,23.88
Viña del Mar,2,93.69
Valparaíso,4,23.03
Angol,2,34.36
Calama,4,44.63
Valparaíso,5,87.19
Osorno,3,82.06
San Antonio,4,83.26
Linares,2,77.83
Viña del Mar,4,23.82
Antofagasta,1,44.67
Linares,4,56.06
Linares,3,44.93
Osorno,1,49.40
Calama,1,52.57
Osorno,3,
Valparaíso,4,94.01
Angol,2,91.78
Temuco,5,93.12
Chillán,1,10.45
Arica,3,28.07
Chillán,1,60.86
La Serena,1,51.38
Puerto Montt,3,48.12
Iquique,4,67.69
Iquique,4,10.85
Viña del Mar,4,56.42
Iquique,3,94.05
Viña del Mar,2,67.62
Calama,4,
Linares,2,10.83
La Serena,1,73.25
Osorno,5,76.89
Linares,3,31.47
Puerto Montt,2,61.50
Concepción,5,19.44
Chillán,1,85.32
Rancagua,4,66.49
Temuco,5,22.20
Punta Arenas,2,43.25
Calama,1,44.22
La Serena,5,98.94
Talca,3,66.36
Angol,2,70.38
Copiapó,5,32.23
Punta Arenas,1,68.29
Rancagua,5,88.15
Santiago,3,15.01
Punta Arenas,2,50.64
Puerto Montt,1,29.01
Arica,5,38.71
Chillán,4,84.04
Rancagua,4,39.76
Puerto Montt,3,68.39
Viña del Mar,1,42.45
Iquique,1,91.26
Angol,4,87.54
Copiapó,1,77.65
Viña del Mar,3,50.35
Angol,2,11.63
San Antonio,1,64.53
Iquique,3,76.69
San Antonio,1,52.48
La Serena,4,66.90
Temuco,3,34.87
Punta Arenas,3,
Puerto Montt,3,78.98
Iquique,5,97.65
Temuco,3,39.10
Calama,5,46.37
Viña del Mar,3,28.97
Temuco,2,55.79
Iquique,2,70.24
Puerto Montt,4,
Temuco,3,93.08
Viña del Mar,1,97.82
Valparaíso,3,99.63
Linares,2,46.53
Concepción,4,
Osorno,1,53.52
Temuco,3,
Santiago,3,89.28
Copiapó,2,54.13
Iquique,1,70.99
Valparaíso,3,
Valparaíso,4,23.62
Punta Arenas,5,65.03
Iquique,3,34.31
Arica,1,11.67
Calama,5,92.20
Temuco,1,
Valparaíso,3,30.24
Arica,1,87.46
Talca,3,12.53
Angol,3,78.06
La Serena,5,91.72
Talca,3,85.72
Punta Arenas,5,
La Serena,5,70.73
Calama,4,45.48
Santiago,5,83.70
Santiago,4,12.03
Valparaíso,1,18.55
Concepción,1,59.15
Copiapó,3,24.05
Angol,5,91.63
Copiapó,2,74.04
Rancagua,1,70.48
Temuco,1,22.41
San Antonio,5,43.81
Temuco,3,84.40
La Serena,2,87.06
Antofagasta,4,96.18
Angol,4,
Angol,2,84.81
Chillán,4,68.65
Copiapó,3,77.80
Arica,1,27.32
Temuco,3,
Antofagasta,2,74.74
Rancagua,3,43.59
Santiago,1,19.33
Osorno,5,70.48
Calama,1,94.24
Antofagasta,2,45.18
Valparaíso,5,45.81
Rancagua,3,34.85
Copiapó,1,21.98
Concepción,5,98.02
Viña del Mar,1,73.14
Rancagua,2,22.07
Concepción,4,36.22
Concepción,1,61.90
Viña del Mar,1,53.94
Rancagua,1,12.42
San Antonio,3,
Rancagua,2,28.87
Copiapó,4,51.54
Rancagua,2,27.59
Chillán,3,
Copiapó,2,59.52
Punta Arenas,4,
Talca,2,79.77
Concepción,4,98.69
Calama,3,68.02
Chillán,4,10.05
Santiago,3,
Talca,3,78.29
Puerto Montt,2,81.37
Rancagua,3,50.98
Santiago,5,30.50
Puerto Montt,2,49.44
Santiago,4,71.94
Talca,2,73.49
Antofagasta,5,11.37
La Serena,4,95.81
Viña del Mar,1,47.41
Santiago,5,89.82
Copiapó,5,27.32
Iquique,3,
Iquique,4,92.33
Valparaíso,1,11.48
Osorno,2,10.96
Iquique,5,
Talca,1,27.62
Valparaíso,2,60.28
Punta Arenas,4,94.80
Viña del Mar,4,
Talca,1,
Chillán,3,23.17
Temuco,3,44.33
Santiago,1,91.58
Rancagua,2,49.91
Santiago,3,30.77
Copiapó,3,19.10
Temuco,5,73.60
Santiago,4,83.35
Santiago,2,55.78
Antofagasta,5,95.83
Iquique,3,27.33
Chillán,3,
Chillán,1,86.30
Santiago,1,48.70
Iquique,5,18.31
La Serena,2,32.54
Puerto Montt,3,99.54
Calama,1,16.22
Iquique,5,78.63
Viña del Mar,5,42.73
Puerto Montt,2,28.07
Arica,4,13.25
Viña del Mar,3,11.68
Copiapó,2,95.12
Viña del Mar,5,54.59
San Antonio,5,
Arica,1,21.52
Talca,4,62.97
Valparaíso,2,58.07
Iquique,1,
Punta Arenas,3,78.41
San Antonio,5,46.79
Linares,3,57.92
Copiapó,1,35.80
Chillán,3,26.05
Valparaíso,3,68.46
Temuco,1,19.84
La Serena,2,88.96
Santiago,3,32.31
Angol,2,72.85
Antofagasta,1,48.96
Copiapó,5,35.33
Angol,3,53.73
San Antonio,4,38.54
Antofagasta,2,15.42
Punta Arenas,3,71.24
Talca,1,34.12
Angol,4,79.29
Iquique,4,42.60
Calama,2,28.98
Linares,4,24.78
Valparaíso,3,17.41
San Antonio,2,99.03
San Antonio,1,79.30
Chillán,1,
Copiapó,1,53.56
Santiago,5,70.87
Talca,5,27.85
Arica,1,
San Antonio,2,70.93
Concepción,2,92.43
Osorno,5,82.27
Linares,4,10.14
Angol,3,86.41
Calama,3,61.68
Santiago,5,45.38
Valparaíso,4,43.44
Calama,4,80.36
Rancagua,5,36.37
Rancagua,1,81.15
Chillán,2,73.85
San Antonio,4,98.09
La Serena,3,28.01
Calama,2,
Angol,1,80.79
Calama,2,59.93
Concepción,5,41.45
Iquique,4,
Punta Arenas,2,89.03
Iquique,4,
Viña del Mar,4,68.72
Calama,5,10.18
Iquique,5,42.07
Valparaíso,5,93.51
Santiago,1,
Osorno,1,36.34
Concepción,5,14.23
Chillán,2,39.89
Concepción,3,81.44
Viña del Mar,5,66.59
Arica,4,75.36
Talca,2,11.09
Antofagasta,3,43.85
Osorno,4,14.77
Concepción,2,58.12
Osorno,1,97.85
Arica,3,88.20
Osorno,4,23.07
Antofagasta,1,
San Antonio,4,58.86
Arica,2,31.03
Linares,4,22.72
Iquique,5,51.88
Concepción,1,96.87
Antofagasta,5,57.02
Osorno,4,21.97
Puerto Montt,2,25.05
Calama,1,63.92
Valparaíso,2,17.51
Viña del Mar,5,67.98
Angol,3,89.09
Antofagasta,2,57.82
Talca,4,67.79
Puerto Montt,4,46.50
Temuco,3,75.60
Iquique,2,66.68
Arica,1,69.23
Rancagua,1,80.73
Iquique,4,35.37
San Antonio,4,55.71
Temuco,5,87.12
Concepción,5,93.55
Viña del Mar,2,40.52
Punta Arenas,2,15.63
Antofagasta,5,13.83
La Serena,2,12.18
Rancagua,4,35.96
Angol,5,18.07
Copiapó,1,93.45
Calama,3,61.82
Chillán,1,24.62
Osorno,1,68.00
Calama,5,26.74
Chillán,1,46.31
Iquique,5,10.95
Angol,5,65.96
La Serena,2,37.52
Temuco,5,37.01
Chillán,1,
San Antonio,3,15.38
Talca,3,48.92
Viña del Mar,3,10.46
Calama,4,35.33
Valparaíso,3,47.48
Temuco,5,93.30
Antofagasta,3,98.60
Viña del Mar,4,
Punta Arenas,4,78.62
Punta Arenas,1,96.67
Talca,3,43.70
Linares,1,39.13
Angol,1,97.82
Viña del Mar,3,82.18
Valparaíso,3,82.23
Linares,2,37.12
Temuco,5,12.50
Puerto Montt,4,56.89
La Serena,2,44.79
Antofagasta,1,92.83
Calama,5,18.99
Calama,5,43.08
Osorno,4,77.28
Punta Arenas,1,29.91
Viña del Mar,2,95.99
Temuco,1,12.69
Talca,1,27.74
Concepción,1,
Viña del Mar,1,69.57
Rancagua,5,51.32
Temuco,1,77.29
Viña del Mar,5,11.81
Copiapó,4,82.74
Chillán,3,66.19
Chillán,1,58.79
Calama,4,60.12
Osorno,2,
Concepción,3,
Osorno,3,90.08
Arica,2,16.19
Copiapó,5,95.08
Osorno,3,
La Serena,3,
Punta Arenas,1,58.19
Copiapó,5,20.31
Iquique,5,27.88
San Antonio,1,95.59
Calama,5,
Antofagasta,4,
Calama,1,45.63
Calama,1,82.99
Talca,2,84.08
Arica,5,50.37
La Serena,1,53.52
Chillán,3,47.79
Rancagua,2,47.03
Punta Arenas,4,
Temuco,4,93.04
Concepción,3,95.29
Iquique,5,92.00
Valparaíso,1,84.52
Punta Arenas,1,55.05
Santiago,2,41.45
Antofagasta,3,69.11
Osorno,3,22.92
Santiago,3,91.35
Chillán,4,97.20
Calama,3,70.47
Temuco,2,38.26
Valparaíso,5,79.95
Puerto Montt,4,79.67
Concepción,3,53.01
Puerto Montt,5,91.36
Viña del Mar,1,94.44
Punta Arenas,2,32.42
Santiago,5,82.38
Concepción,5,32.48
Rancagua,5,13.36
